Feature,Coefficient,P-Value,R²,Significant
accommodates,0.0859,0.0,0.6042,True
amenities_count,0.0044,0.0,0.6042,True
availability_365,0.0001,0.0057,0.6042,True
reviews_per_month,-0.0253,0.0,0.6042,True
minimum_nights,-0.0008,0.0001,0.6042,True
room_Hotel room,0.4897,0.0,0.6042,True
room_Private room,-0.5875,0.0,0.6042,True
room_Shared room,-1.2275,0.0,0.6042,True
