city,r2,rmse,mae,mape_pct,val_r2,n_rows,n_features
losangeles,0.9999999713728623,0.006433772500249128,0.003192452145486544,0.0025283947941962454,0.9999999703979306,38062,42
neworleans,0.7192021624309215,2015.3021693613584,243.1707970921586,39.55922557762002,0.8275193281322268,6558,44
newyork,0.5662145365859748,120.29965315168138,65.90057583320838,31.097499217471526,0.5970007673476083,22939,44
chicago,0.5604173027644561,2160.0876687491423,226.04105090279864,56.42470068910299,0.6766631324136975,8186,44
austin,0.559543485022298,128.08019343528866,65.18051822038402,30.125123482957328,0.4678969387446772,10206,44
nashville,0.4077590931196716,93.75892577563786,53.047018316508286,25.974216758833958,0.4190975506013278,8804,44
