feature,mean_abs_shap
neigh_Prince's Bay,0.0
neigh_Rego Park,0.0
neigh_Red Hook,0.0
neigh_Randall Manor,0.0
neigh_Queens Village,0.0
neigh_Port Richmond,0.0
neigh_Richmond Hill,0.0
neigh_Rosebank,0.0
neigh_Rossville,0.0
neigh_Stapleton,0.0
neigh_Unionport,0.0
neigh_University Heights,0.0
neigh_Two Bridges,0.0
neigh_Sunset Park,0.0
neigh_Todt Hill,0.0
neigh_Tottenville,0.0
neigh_Tremont,0.0
neigh_Whitestone,0.0
neigh_Westerleigh,0.0
neigh_Westchester Square,0.0
neigh_West Farms,0.0
neigh_West Brighton,0.0
neigh_Willowbrook,0.0
neigh_Woodlawn,0.0
neigh_Woodrow,0.0
