host_cluster,cluster_name,host_count,avg_price,avg_availability,avg_review_density,avg_reviews
0,other_cluster_0,18519,149.33700523786382,110.03472109725148,1.0668751465038258,59.35963064960311
1,passive hosts,33777,154.38700891138942,314.644314178287,0.1812844235017755,53.96263729756935
2,premium pricers,4809,660.2283218964442,269.9920981493034,0.1791447767607977,31.206487835308796
3,occupancy maximizers,8,148.75,1.125,396.6875,440.625
4,other_cluster_4,72,141.61111111111111,2.2916666666666665,97.8003802910053,192.375
