city,neighbourhood,listing_count,mean_price,median_price,iqr,cv
newyork,Allerton,34,136.11764705882354,85.0,59.75,0.9573511821874064
newyork,Arden Heights,3,79.66666666666667,94.0,32.5,0.4366926183477534
newyork,Arrochar,12,144.08333333333334,100.5,105.75,0.635008361048868
newyork,Arverne,67,224.67164179104478,150.0,149.0,1.035511960652687
newyork,Astoria,285,143.56140350877192,103.0,93.0,0.8981128403591161
newyork,Bath Beach,24,168.0,124.0,163.0,0.641727498393685
newyork,Battery Park City,18,334.77777777777777,297.5,191.75,0.749952001126594
newyork,Bay Ridge,78,118.43589743589743,89.0,89.75,0.8467186828632766
newyork,Bay Terrace,3,126.33333333333333,105.0,32.0,0.29248351367917724
newyork,"Bay Terrace, Staten Island",1,123.0,123.0,0.0,
newyork,Baychester,14,103.85714285714286,97.0,34.25,0.4437020624088321
newyork,Bayside,33,157.6969696969697,120.0,89.0,0.6088130303450586
newyork,Bayswater,9,110.11111111111111,94.0,50.0,0.4472338591586007
newyork,Bedford-Stuyvesant,1439,146.91938846421127,123.0,125.0,0.8348245060048967
newyork,Belle Harbor,8,215.125,194.5,79.5,0.2560265187632992
newyork,Bellerose,14,150.78571428571428,126.0,53.75,0.45414966865109213
newyork,Belmont,14,104.71428571428571,87.5,46.5,0.4850611801358968
newyork,Bensonhurst,34,133.2058823529412,127.5,92.5,0.5310297914097257
newyork,Bergen Beach,16,208.875,177.0,148.75,0.5287211653612112
newyork,Boerum Hill,60,315.1166666666667,250.0,193.25,0.7224232089328663
newyork,Borough Park,35,101.25714285714285,71.0,61.0,0.748081109221478
newyork,Breezy Point,7,111.42857142857143,135.0,51.5,0.3450504732062094
newyork,Briarwood,23,122.91304347826087,75.0,98.5,0.7686176821104763
newyork,Brighton Beach,40,116.55,106.5,72.25,0.540674793843927
newyork,Bronxdale,11,69.36363636363636,53.0,17.0,0.5726300089982452
newyork,Brooklyn Heights,36,309.8888888888889,239.5,125.5,0.795629427912865
newyork,Brownsville,80,130.75,100.0,79.25,0.7660512366197548
newyork,Bull's Head,7,171.0,132.0,139.0,0.6209487326959703
newyork,Bushwick,774,114.36950904392765,90.0,98.75,0.8255872918794843
newyork,Cambria Heights,46,126.8695652173913,110.0,73.75,0.4545870330469479
newyork,Canarsie,189,141.7037037037037,123.0,81.0,0.7234498680160747
newyork,Carroll Gardens,71,287.23943661971833,207.0,143.5,0.814894577053143
newyork,Castle Hill,7,121.28571428571429,131.0,32.5,0.23483591550801033
newyork,Castleton Corners,4,120.0,115.5,94.5,0.5967892487364425
newyork,Chelsea,513,337.8362573099415,250.0,344.0,0.8014081002005089
newyork,"Chelsea, Staten Island",1,70.0,70.0,0.0,
newyork,Chinatown,163,253.12269938650306,200.0,159.5,0.7813902205892047
newyork,City Island,14,187.64285714285714,140.5,67.5,0.862786859049456
newyork,Civic Center,6,309.0,304.5,39.75,0.2315578645321287
newyork,Claremont Village,20,139.05,108.0,116.5,0.7678712367689882
newyork,Clason Point,34,104.26470588235294,76.5,57.0,0.6600048865989694
newyork,Clifton,10,103.6,88.5,73.25,0.5717603707013246
newyork,Clinton Hill,169,257.85207100591714,200.0,228.0,0.7231673877501847
newyork,Co-op City,5,61.6,72.0,29.0,0.3215351390965017
newyork,Cobble Hill,21,323.95238095238096,240.0,156.0,0.7026875841882457
newyork,College Point,39,147.17948717948718,124.0,93.5,0.5838856018713043
newyork,Columbia St,6,177.83333333333334,137.5,97.0,0.6116001422089423
newyork,Concord,4,134.0,88.0,76.0,0.8446583255603665
newyork,Concourse,27,108.66666666666667,100.0,58.0,0.38007017667922516
newyork,Concourse Village,20,118.85,106.5,67.0,0.5009651131046673
newyork,Coney Island,20,114.65,90.0,19.0,0.5682252068607294
newyork,Corona,46,117.67391304347827,84.5,29.75,1.2482388384577014
newyork,Country Club,5,396.0,121.0,13.0,1.5572333697229834
newyork,Crown Heights,631,167.50079239302696,126.0,127.0,0.8475596830535738
newyork,Cypress Hills,136,114.0220588235294,79.5,70.75,0.870868671677521
newyork,DUMBO,13,270.61538461538464,289.0,140.0,0.38442040054324245
newyork,Ditmars Steinway,111,144.78378378378378,119.0,84.0,0.7321726323357987
newyork,Dongan Hills,2,181.0,181.0,19.0,0.14845335737618126
newyork,Douglaston,3,166.0,171.0,15.5,0.09694865626163301
newyork,Downtown Brooklyn,44,293.95454545454544,224.5,148.25,0.8014850353019807
newyork,Dyker Heights,10,98.1,91.5,30.75,0.34075466002734184
newyork,East Elmhurst,155,133.4774193548387,101.0,83.5,0.822188368295371
newyork,East Flatbush,370,134.75405405405405,107.5,86.5,0.8839390959233238
newyork,East Harlem,359,168.58774373259052,130.0,98.5,0.7806812585846806
newyork,East Morrisania,6,145.83333333333334,154.5,62.25,0.25489455202703176
newyork,East New York,250,135.292,114.5,97.5,0.7251544036350827
newyork,East Village,393,287.79898218829516,192.0,259.0,0.7700812196723171
newyork,Eastchester,10,173.2,136.5,37.5,0.5367810921548029
newyork,Edenwald,25,83.32,85.0,51.0,0.40568621100956315
newyork,Edgemere,11,179.63636363636363,151.0,79.5,0.6685321893792115
newyork,Elmhurst,145,78.7448275862069,67.0,40.0,0.4610752102260982
newyork,Eltingville,3,118.33333333333333,129.0,31.0,0.2733555728215917
newyork,Emerson Hill,7,94.85714285714286,96.0,52.0,0.4177780696827137
newyork,Far Rockaway,41,140.6341463414634,115.0,120.0,0.7588244151310342
newyork,Fieldston,8,228.25,95.0,66.25,1.544577410071573
