city,feature,mean_abs_shap
austin,accommodates,0.3728912771136119
austin,reviews_per_month,0.14368454693393065
austin,minimum_nights,0.09768113248079242
austin,amenities_count,0.059657325043857935
austin,availability_365,0.05710630215676532
austin,room_Private room,0.052593719239514905
austin,neigh_OTHER,0.04064345890578118
austin,neigh_78704,0.02613770225356582
austin,neigh_78741,0.013537687769668582
austin,room_Shared room,0.010571559600750765
austin,neigh_78745,0.010453814852713567
austin,neigh_78705,0.008514991342195468
austin,neigh_78703,0.008313907270012693
austin,neigh_78702,0.007400400365811499
austin,neigh_78744,0.006067289636447522
austin,neigh_78723,0.005073754663514968
austin,neigh_78758,0.004195473825719938
austin,room_Hotel room,0.0037906528729136284
