city,month_num,month,weekday_num,weekday,avg_price,availability_rate
austin,1,Jan,0,Mon,414.1328206588816,0.7484097598025254
austin,1,Jan,1,Tue,414.1328206588816,0.7490980727238203
austin,1,Jan,2,Wed,414.1328206588816,0.7484572296591664
austin,1,Jan,3,Thu,414.1328206588816,0.7405677394854268
austin,1,Jan,4,Fri,414.1328206588816,0.7382512104813443
austin,1,Jan,5,Sat,414.1328206588816,0.7399031614924523
austin,1,Jan,6,Sun,414.1328206588816,0.7442798822747555
austin,2,Feb,0,Mon,414.1328206588816,0.7494066267919871
austin,2,Feb,1,Tue,414.1328206588816,0.7494540966486282
austin,2,Feb,2,Wed,414.1328206588816,0.7483385550175639
austin,2,Feb,3,Thu,414.1328206588816,0.7451343396942941
austin,2,Feb,4,Fri,414.1328206588816,0.7421200037975886
austin,2,Feb,5,Sat,414.1328206588816,0.74126554637805
austin,2,Feb,6,Sun,414.1328206588816,0.7460837368271148
austin,3,Mar,0,Mon,414.1328206588816,0.6903826070445267
austin,3,Mar,1,Tue,414.1328206588816,0.6911611126934397
austin,3,Mar,2,Wed,414.1328206588816,0.6957182189309788
austin,3,Mar,3,Thu,414.1328206588816,0.6900455710623754
austin,3,Mar,4,Fri,414.1328206588816,0.6874347289471185
austin,3,Mar,5,Sat,414.1328206588816,0.6869362954523878
austin,3,Mar,6,Sun,414.1328206588816,0.6877242950726289
austin,4,Apr,0,Mon,414.1328206588816,0.670084496344821
austin,4,Apr,1,Tue,414.1328206588816,0.6701557011297826
austin,4,Apr,2,Wed,414.1328206588816,0.6680337985379284
austin,4,Apr,3,Thu,414.1328206588816,0.6639893667521124
austin,4,Apr,4,Fri,414.1328206588816,0.6600920915218836
austin,4,Apr,5,Sat,414.1328206588816,0.6607804044431785
austin,4,Apr,6,Sun,414.1328206588816,0.6681857020791797
austin,5,May,0,Mon,414.1328206588816,0.6792224437482198
austin,5,May,1,Tue,414.1328206588816,0.6797920820279123
austin,5,May,2,Wed,414.1328206588816,0.6789850944650148
austin,5,May,3,Thu,414.1328206588816,0.673526060951296
austin,5,May,4,Fri,414.1328206588816,0.6707490743377955
austin,5,May,5,Sat,414.1328206588816,0.6711288331909238
austin,5,May,6,Sun,414.1328206588816,0.6763884933067502
austin,6,Jun,0,Mon,414.1328206588816,0.597474603626697
austin,6,Jun,1,Tue,414.1328206588816,0.5974556156840406
austin,6,Jun,2,Wed,414.1328206588816,0.6101775372638375
austin,6,Jun,3,Thu,414.1328206588816,0.6093468147726194
austin,6,Jun,4,Fri,414.1328206588816,0.6087059717079655
austin,6,Jun,5,Sat,414.1328206588816,0.5744564701414602
austin,6,Jun,6,Sun,414.1328206588816,0.5762840596221399
austin,7,Jul,0,Mon,414.1328206588816,0.540301908288237
austin,7,Jul,1,Tue,414.1328206588816,0.5400645590050318
austin,7,Jul,2,Wed,414.1328206588816,0.5405107756574575
austin,7,Jul,3,Thu,414.1328206588816,0.5399411373777652
austin,7,Jul,4,Fri,414.1328206588816,0.5396183423526061
austin,7,Jul,5,Sat,414.1328206588816,0.5397085350802241
austin,7,Jul,6,Sun,414.1328206588816,0.5402069685749549
austin,8,Aug,0,Mon,414.1328206588816,0.5295357448020507
austin,8,Aug,1,Tue,414.1328206588816,0.528861672837748
austin,8,Aug,2,Wed,414.1328206588816,0.528814202981107
austin,8,Aug,3,Thu,414.1328206588816,0.5278173359916453
austin,8,Aug,4,Fri,414.1328206588816,0.5272714326402734
austin,8,Aug,5,Sat,414.1328206588816,0.5302193107376816
austin,8,Aug,6,Sun,414.1328206588816,0.5292889015475173
austin,9,Sep,0,Mon,414.1328206588816,0.5710386404633058
austin,9,Sep,1,Tue,413.3361091120935,0.5439498303690757
austin,9,Sep,2,Wed,415.1102192889078,0.48750266127315306
austin,9,Sep,3,Thu,414.1328206588816,0.49202506408430646
austin,9,Sep,4,Fri,414.1328206588816,0.4639941137377765
austin,9,Sep,5,Sat,414.1328206588816,0.4614070065508402
austin,9,Sep,6,Sun,414.1328206588816,0.5378334757429033
austin,10,Oct,0,Mon,414.1328206588816,0.6691350992120004
austin,10,Oct,1,Tue,414.1328206588816,0.701651951011108
austin,10,Oct,2,Wed,414.1328206588816,0.6713756764454571
austin,10,Oct,3,Thu,414.1328206588816,0.5560808886357164
austin,10,Oct,4,Fri,414.1328206588816,0.45829298395518847
austin,10,Oct,5,Sat,414.1328206588816,0.40928510395898604
austin,10,Oct,6,Sun,414.1328206588816,0.5049606000189879
austin,11,Nov,0,Mon,414.1328206588816,0.7568593942846292
austin,11,Nov,1,Tue,414.1328206588816,0.7567881894996678
austin,11,Nov,2,Wed,414.1328206588816,0.736352416215703
austin,11,Nov,3,Thu,414.1328206588816,0.7037406247033134
austin,11,Nov,4,Fri,414.1328206588816,0.6772287097692965
austin,11,Nov,5,Sat,414.1328206588816,0.6754770720592423
austin,11,Nov,6,Sun,414.1328206588816,0.7407576189119909
austin,12,Dec,0,Mon,414.1328206588816,0.7544289376246084
austin,12,Dec,1,Tue,414.1328206588816,0.7543339979113263
austin,12,Dec,2,Wed,414.1328206588816,0.7525301433589671
austin,12,Dec,3,Thu,414.1328206588816,0.752895661255103
austin,12,Dec,4,Fri,414.1328206588816,0.7482673502326023
austin,12,Dec,5,Sat,414.1328206588816,0.749264217222064
austin,12,Dec,6,Sun,414.1328206588816,0.7577850564891294
