feature,coefficient,p_value,r_squared
const,4.3861428788647245,0.0,0.38140698538628304
accommodates,0.11798062855142796,0.0,0.38140698538628304
amenities_count,0.003203407490059933,7.03036750445701e-15,0.38140698538628304
availability_365,-0.0003673887560643418,7.768097510489562e-14,0.38140698538628304
reviews_per_month,-0.03443009042050104,1.0868509957920397e-15,0.38140698538628304
minimum_nights,0.00010643528026858555,0.6629775985954434,0.38140698538628304
room_Hotel room,0.055372468552634176,0.35146652571201376,0.38140698538628304
room_Private room,-0.10143273048178558,3.275509657692333e-08,0.38140698538628304
room_Shared room,-0.5176039836404472,0.0061764365947843194,0.38140698538628304
neigh_Central Business District,0.002374040794333897,0.947747722501121,0.38140698538628304
neigh_Central City,0.0049000977157906455,0.8993404446127718,0.38140698538628304
neigh_French Quarter,0.16409082103507355,0.001020828719698671,0.38140698538628304
neigh_Lower Garden District,-0.030111437932289743,0.47367519760401056,0.38140698538628304
neigh_Marigny,0.1944010558866127,2.4400400846226493e-06,0.38140698538628304
neigh_Mid-City,-0.1978165451819244,1.707235682404335e-06,0.38140698538628304
neigh_OTHER,-0.050874171897996825,0.14205299100802746,0.38140698538628304
neigh_Seventh Ward,-0.12073548458258197,0.0036317478460434773,0.38140698538628304
neigh_St. Claude,-0.13782885595525396,0.0018602982336661602,0.38140698538628304
neigh_Treme - Lafitte,-0.041253257954531164,0.3268092916860267,0.38140698538628304
