city,month_num,month,weekday_num,weekday,avg_price,availability_rate
neworleans,1,Jan,0,Mon,432.72971520687804,0.5686458893068242
neworleans,1,Jan,1,Tue,432.72971520687804,0.6268135411069318
neworleans,1,Jan,2,Wed,432.72971520687804,0.5036270822138635
neworleans,1,Jan,3,Thu,432.72971520687804,0.5629365932294466
neworleans,1,Jan,4,Fri,432.72971520687804,0.61579795808705
neworleans,1,Jan,5,Sat,432.72971520687804,0.6098199892530898
neworleans,1,Jan,6,Sun,432.72971520687804,0.6929070392262224
neworleans,2,Feb,0,Mon,432.72971520687804,0.5868260791689056
neworleans,2,Feb,1,Tue,432.72971520687804,0.6698683503492746
neworleans,2,Feb,2,Wed,432.72971520687804,0.6907576571735626
neworleans,2,Feb,3,Thu,432.72971520687804,0.5710639441160666
neworleans,2,Feb,4,Fri,432.72971520687804,0.6284255776464267
neworleans,2,Feb,5,Sat,432.72971520687804,0.4934175174637292
neworleans,2,Feb,6,Sun,432.72971520687804,0.5824825362708221
neworleans,3,Mar,0,Mon,432.72971520687804,0.5625559734909547
neworleans,3,Mar,1,Tue,432.72971520687804,0.7044599677592692
neworleans,3,Mar,2,Wed,432.72971520687804,0.6868619022031166
neworleans,3,Mar,3,Thu,432.72971520687804,0.5815421816227835
neworleans,3,Mar,4,Fri,432.72971520687804,0.6290972595378829
neworleans,3,Mar,5,Sat,432.72971520687804,0.47971520687802255
neworleans,3,Mar,6,Sun,432.72971520687804,0.5894008597528211
neworleans,4,Apr,0,Mon,432.72971520687804,0.620231058570661
neworleans,4,Apr,1,Tue,432.72971520687804,0.47931219774314887
neworleans,4,Apr,2,Wed,432.72971520687804,0.5948414830736163
neworleans,4,Apr,3,Thu,432.72971520687804,0.553824108902024
neworleans,4,Apr,4,Fri,432.72971520687804,0.7152740462117141
neworleans,4,Apr,5,Sat,432.72971520687804,0.6730924234282644
neworleans,4,Apr,6,Sun,432.72971520687804,0.608006448146158
neworleans,5,May,0,Mon,432.72971520687804,0.6686593229446535
neworleans,5,May,1,Tue,432.72971520687804,0.6198280494357872
neworleans,5,May,2,Wed,432.72971520687804,0.6153949489521763
neworleans,5,May,3,Thu,432.72971520687804,0.48455131649650723
neworleans,5,May,4,Fri,432.72971520687804,0.5945056421278883
neworleans,5,May,5,Sat,432.72971520687804,0.568153322586423
neworleans,5,May,6,Sun,432.72971520687804,0.6957952713594842
neworleans,6,Jun,0,Mon,432.72971520687804,0.5909457281031704
neworleans,6,Jun,1,Tue,432.72971520687804,0.5815421816227835
neworleans,6,Jun,2,Wed,432.72971520687804,0.6544868350349274
neworleans,6,Jun,3,Thu,432.72971520687804,0.6721520687802257
neworleans,6,Jun,4,Fri,432.72971520687804,0.6222461042450296
neworleans,6,Jun,5,Sat,432.72971520687804,0.6135142396560989
neworleans,6,Jun,6,Sun,432.72971520687804,0.5
neworleans,7,Jul,0,Mon,432.72971520687804,0.5971252015045674
neworleans,7,Jul,1,Tue,432.72971520687804,0.5014777001612036
neworleans,7,Jul,2,Wed,432.72971520687804,0.5899382052659861
neworleans,7,Jul,3,Thu,432.72971520687804,0.5849005910800645
neworleans,7,Jul,4,Fri,432.72971520687804,0.619156367544331
neworleans,7,Jul,5,Sat,432.72971520687804,0.6830333154218162
neworleans,7,Jul,6,Sun,432.72971520687804,0.6199623858140785
neworleans,8,Aug,0,Mon,432.72971520687804,0.6240596453519613
neworleans,8,Aug,1,Tue,432.72971520687804,0.6869962385814078
neworleans,8,Aug,2,Wed,432.72971520687804,0.61579795808705
neworleans,8,Aug,3,Thu,432.72971520687804,0.5085975282106394
neworleans,8,Aug,4,Fri,432.72971520687804,0.4986566362170876
neworleans,8,Aug,5,Sat,432.72971520687804,0.58604245029554
neworleans,8,Aug,6,Sun,432.72971520687804,0.5846766971162457
neworleans,9,Sep,0,Mon,432.72971520687804,0.4990596453519613
neworleans,9,Sep,1,Tue,432.72971520687804,0.5833557227297153
neworleans,9,Sep,2,Wed,432.72971520687804,0.5512269389217267
neworleans,9,Sep,3,Thu,432.72971520687804,0.6677189682966147
neworleans,9,Sep,4,Fri,432.72971520687804,0.677928533046749
neworleans,9,Sep,5,Sat,432.72971520687804,0.6182160128962924
neworleans,9,Sep,6,Sun,432.72971520687804,0.5103439011284255
neworleans,10,Oct,0,Mon,432.72971520687804,0.6219774314884471
neworleans,10,Oct,1,Tue,432.72971520687804,0.5083288554540569
neworleans,10,Oct,2,Wed,432.72971520687804,0.49892530897367005
neworleans,10,Oct,3,Thu,432.72971520687804,0.5846990865126276
neworleans,10,Oct,4,Fri,432.72971520687804,0.50107469102633
neworleans,10,Oct,5,Sat,432.72971520687804,0.6703385276732939
neworleans,10,Oct,6,Sun,432.72971520687804,0.6503895754970446
neworleans,11,Nov,0,Mon,432.72971520687804,0.5181354110693176
neworleans,11,Nov,1,Tue,432.72971520687804,0.6860558839333691
neworleans,11,Nov,2,Wed,432.72971520687804,0.6425980655561526
neworleans,11,Nov,3,Thu,432.72971520687804,0.623052122514777
neworleans,11,Nov,4,Fri,432.72971520687804,0.5048361096184847
neworleans,11,Nov,5,Sat,432.72971520687804,0.500537345513165
neworleans,11,Nov,6,Sun,432.72971520687804,0.5398979043524986
neworleans,12,Dec,0,Mon,432.72971520687804,0.49731327243417517
neworleans,12,Dec,1,Tue,432.72971520687804,0.5314347125201505
neworleans,12,Dec,2,Wed,432.72971520687804,0.5393605588393336
neworleans,12,Dec,3,Thu,432.72971520687804,0.6614051585169264
neworleans,12,Dec,4,Fri,432.72971520687804,0.6473670069854917
