city,month_num,month,weekday_num,weekday,avg_price,availability_rate
austin,1,Jan,0,Mon,238.4507299270073,0.6094890510948905
austin,1,Jan,1,Tue,238.4507299270073,0.635036496350365
austin,1,Jan,2,Wed,238.4507299270073,0.4653284671532847
austin,1,Jan,3,Thu,238.4507299270073,0.5565693430656934
austin,1,Jan,4,Fri,238.4631771150335,0.5909920876445527
austin,1,Jan,5,Sat,238.4507299270073,0.6332116788321168
austin,1,Jan,6,Sun,238.4507299270073,0.6687956204379562
austin,2,Feb,0,Mon,238.4631771150335,0.5386488131466829
austin,2,Feb,1,Tue,238.4507299270073,0.6833941605839416
austin,2,Feb,2,Wed,238.4507299270073,0.6715328467153284
austin,2,Feb,3,Thu,238.4507299270073,0.6094890510948905
austin,2,Feb,4,Fri,238.4507299270073,0.635036496350365
austin,2,Feb,5,Sat,238.4507299270073,0.4653284671532847
austin,2,Feb,6,Sun,238.4507299270073,0.5565693430656934
austin,3,Mar,0,Mon,238.4631771150335,0.5057821059038344
austin,3,Mar,1,Tue,238.4507299270073,0.6998175182481752
austin,3,Mar,2,Wed,238.4507299270073,0.6687956204379562
austin,3,Mar,3,Thu,238.4507299270073,0.614963503649635
austin,3,Mar,4,Fri,238.4507299270073,0.6386861313868614
austin,3,Mar,5,Sat,238.4507299270073,0.4653284671532847
austin,3,Mar,6,Sun,238.4507299270073,0.5574817518248175
austin,4,Apr,0,Mon,238.4507299270073,0.6386861313868614
austin,4,Apr,1,Tue,238.4507299270073,0.4653284671532847
austin,4,Apr,2,Wed,238.4507299270073,0.5647810218978102
austin,4,Apr,3,Thu,238.4631771150335,0.5088253195374315
austin,4,Apr,4,Fri,238.4507299270073,0.6952554744525548
austin,4,Apr,5,Sat,238.4507299270073,0.666058394160584
austin,4,Apr,6,Sun,238.4507299270073,0.6167883211678832
austin,5,May,0,Mon,238.4507299270073,0.6651459854014599
austin,5,May,1,Tue,238.4507299270073,0.6204379562043796
austin,5,May,2,Wed,238.4507299270073,0.6386861313868614
austin,5,May,3,Thu,238.4507299270073,0.4653284671532847
austin,5,May,4,Fri,238.4507299270073,0.5666058394160584
austin,5,May,5,Sat,238.4631771150335,0.5325623858794888
austin,5,May,6,Sun,238.4507299270073,0.6824817518248175
austin,6,Jun,0,Mon,238.4507299270073,0.5656934306569343
austin,6,Jun,1,Tue,238.4631771150335,0.5891661594643944
austin,6,Jun,2,Wed,238.4507299270073,0.6514598540145985
austin,6,Jun,3,Thu,238.4507299270073,0.6651459854014599
austin,6,Jun,4,Fri,238.4507299270073,0.6186131386861314
austin,6,Jun,5,Sat,238.4507299270073,0.6368613138686131
austin,6,Jun,6,Sun,238.4507299270073,0.4653284671532847
austin,7,Jul,0,Mon,238.4507299270073,0.6368613138686131
austin,7,Jul,1,Tue,238.4507299270073,0.4653284671532847
austin,7,Jul,2,Wed,238.4507299270073,0.5693430656934306
austin,7,Jul,3,Thu,238.4631771150335,0.6043822276323798
austin,7,Jul,4,Fri,238.4507299270073,0.6359489051094891
austin,7,Jul,5,Sat,238.4507299270073,0.6724452554744526
austin,7,Jul,6,Sun,238.4507299270073,0.6094890510948905
austin,8,Aug,0,Mon,238.4507299270073,0.6405109489051095
austin,8,Aug,1,Tue,238.4507299270073,0.6797445255474452
austin,8,Aug,2,Wed,238.4507299270073,0.6076642335766423
austin,8,Aug,3,Thu,238.4507299270073,0.6405109489051095
austin,8,Aug,4,Fri,238.4507299270073,0.4635036496350365
austin,8,Aug,5,Sat,238.4507299270073,0.5702554744525548
