method,city,cluster,listing_id,price,latitude,longitude,accommodates,minimum_nights,maximum_nights,number_of_reviews,availability_365,reviews_total,reviews_last_365d,calendar_avg_price,calendar_median_price,calendar_availability_rate,calendar_days_sampled,log_price,price_per_person,amenities_count,review_density,reviews_per_month,demand_score,listing_count,neighbourhood
kmeans,newyork,0,7.191712499365944e+17,100.03280696977947,40.725742832209555,-73.93517532675621,2.1110808603321534,32.00068064252655,417.624693710863,10.410971957527906,309.32575551320446,10.319221344949632,1.6411652600054452,108.31162999550965,108.31162999550965,0.8464774285286634,365.0,4.491244359535987,55.21500754648896,19.004764497685816,0.036201433370316394,0.13676377166712042,0.04703743219688144,7346,
kmeans,newyork,1,1.1773076270519472e+17,168.96804260985354,40.71864557496391,-73.94124597661754,2.780292942743009,18.637816245006658,448.30670217487796,224.0443852640923,196.27652019529515,217.7567687527741,24.25122059476254,171.17324663260567,171.17324663260567,0.5652150952159778,365.0037157454714,4.963892236823327,68.83508972164098,36.73546382600976,3.233757250817628,2.020935049563545,0.1633205931907362,2253,
kmeans,newyork,2,2.0075201425539475e+17,123.16055718475073,40.73182044737605,-73.952232805757,2.4208211143695015,30.774926686217007,159636.33555718476,9.04391495601173,14.352199413489735,9.138782991202346,0.8071847507331378,144.8878263509411,144.8878263509411,0.05169634183363691,365.0000758955677,4.728370800511162,59.24133464409491,15.667448680351907,0.9477065235284708,0.06726539589442815,0.2891541617539517,13640,
kmeans,newyork,3,7.686795195562796e+17,454.92619859938947,40.73724829947363,-73.96862435445308,3.9475668881307238,25.98204345483929,561.7712336146525,13.046327886514634,269.2203268091219,13.62829951517328,4.340815227150296,457.48258416034247,457.48258416034247,0.7453884413309982,365.00038918077445,6.00656699125122,149.7352318189183,33.07559705512659,0.08096565553739675,0.3617346022625247,0.08091334121804165,5569,
kmeans,newyork,4,5.267232669970158e+17,147.0062373078039,40.71877398307736,-73.93277399746464,2.865100087032202,27.429648970118944,435.9194952132289,28.792573252103278,184.13228894691036,28.995068175224834,5.097911227154047,148.662157960199,148.662157960199,0.5334588308457712,365.0010883084577,4.899849473639447,61.13000369871562,46.58572671888599,0.4053847757639971,0.4248259355961706,0.15233640992630876,6894,
dbscan,newyork,-1,5.785235578185834e+17,316.9078947368421,40.701160693545866,-73.86964224350467,4.703947368421052,26.589912280701753,440.6140350877193,30.416666666666668,260.64912280701753,30.967105263157894,5.62280701754386,319.65501165501166,319.65501165501166,0.7195874125874125,365.002331002331,5.358625191888112,86.62038496651984,41.52850877192982,0.20026521977861342,0.4685672514619883,0.0897145357120813,456,
dbscan,newyork,0,4.5213900103669165e+17,176.06690421892816,40.72905104432218,-73.94858348540821,2.6748574686431015,28.906898517673888,62353.74315849487,27.266106043329533,157.55413340935004,27.002166476624858,3.817873432155074,186.3934764156663,186.3934764156663,0.43689685036983145,365.0005153389111,4.922100468988221,73.44967193985224,26.139110604332952,0.523820423152921,0.31815611934625615,0.17372605849211908,35080,
dbscan,newyork,1,4.4397851329242e+17,129.18072289156626,40.59379479541791,-73.78812074402579,3.3072289156626504,26.825301204819276,488.10843373493975,32.506024096385545,199.53614457831324,33.102409638554214,3.180722891566265,137.35365853658536,137.35365853658536,0.5736396341463414,365.0,4.762796985705922,47.825731497418246,33.37951807228916,0.25671994028042205,0.26506024096385544,0.13948606498747604,166,
gmm,newyork,0,4.940416840223783e+17,172.96697324414717,40.727129427044396,-73.94069021714957,2.7673494983277593,27.861204013377925,465.6714046822743,12.151546822742475,194.79849498327758,12.718645484949834,3.311036789297659,177.70461258804818,177.70461258804818,0.5694132015451034,365.0002272210861,4.901179203548469,69.59240358825957,32.67851170568562,0.18005022383692906,0.27591973244147155,0.14174294914014365,4784,
gmm,newyork,1,8.200767715185272e+17,195.53429602888087,40.73197015319716,-73.9477704722127,2.593604951005673,30.99484270242393,451.23362558019596,1.0,245.58225889633832,1.1918514698298093,0.6204228984012378,203.2086858432036,203.2086858432036,0.6934120699379582,365.0,4.924085595928879,81.34779873441555,25.987622485817433,0.01622607181215828,0.05170190820010313,0.09839365327922693,1939,
gmm,newyork,2,5.789213793522697e+17,188.05586788475054,40.73319531532564,-73.94341002965596,2.892832044975404,32.09311314125088,462.83696416022485,4.926563598032326,321.5056219255095,5.080815179198876,1.4602951510892481,191.59276190476191,191.59276190476191,0.8526448761904761,365.0,4.976157040374446,71.86439871179418,31.82185523541813,0.015385575298128633,0.12169126259077066,0.03652978039107747,2846,
gmm,newyork,3,3.917360902185499e+17,195.8505122308175,40.720795866367844,-73.9358833174011,3.064394731340163,20.724649801379886,432.0236253397449,58.21011917206774,217.11310892745138,58.81162450344972,12.09115617813088,197.79610360858976,197.79610360858976,0.6236482621208768,365.0019924728802,5.036719749094127,71.86478026990781,37.26238762283086,0.8481439615099402,1.0075963481775734,0.12944700430431622,4783,
gmm,newyork,4,1.0975400192525563e+17,80.0,40.73084679099631,-73.9423154716267,1.7841370782547252,30.486309839251017,796.3301536830949,7.946475887652358,0.0,7.818229994700583,0.08496732026143791,147.9878223495702,147.9878223495702,0.007534688395415473,365.0,4.382026634673881,52.42020171431936,15.6048401342519,,0.007080610021786491,0.3006741544359531,5661,
gmm,newyork,5,1.0442429671010074e+17,170.0,40.72895705284567,-73.9623643107638,3.218184754521964,33.06912144702842,350801.5264857881,8.906815245478036,0.0,8.706556847545219,0.10239018087855298,148.00362080315998,148.00362080315998,0.006066984858459513,365.0,5.135798437050262,64.65438542400751,19.669896640826874,,0.008532515073212748,0.3007574717830278,6192,
gmm,newyork,6,1.142880061550816e+17,166.30607187112764,40.71968595652479,-73.94090037130708,2.7711689384551836,18.926889714993806,455.5588599752169,216.0731102850062,182.8897149938042,210.0557620817844,22.999173895084677,169.12354211663066,169.12354211663066,0.5293655291576673,365.0034557235421,4.945772695706431,67.84385240258847,36.48285832300702,3.4084436834175116,1.9165978245903896,0.17334626926211721,2421,
gmm,newyork,7,1.0145606525466824e+18,248.11461277557942,40.730342932311686,-73.95154074090016,2.633408705483324,31.60161107970605,479.2190503109101,0.0,264.93004522329,0.17297908422837763,0.16902204635387225,262.71987281399043,262.71987281399043,0.7504127503974563,365.0,5.097850857083207,102.28844152479328,23.66633691351046,0.0,0.014085170529489353,0.08229286836838948,7076,
kmeans,chicago,0,7.798915448372623e+17,334.6874730951356,41.89370976739135,-87.6581430556124,6.76194575979337,10.60051657339647,448.0886784330607,46.039603960396036,282.6185966422729,46.04003443822643,15.256134309083082,369.52430555555554,369.52430555555554,0.7237923611111111,365.0,5.639083992454844,62.8018012999341,56.24106758501937,0.22478828214429414,1.2713445257569234,0.08483415262191281,2323,
kmeans,chicago,1,8.092527121483949e+16,160.33680104031208,41.91107794589139,-87.67066840267896,4.308192457737321,4.864759427828348,524.9375812743823,300.50845253576074,228.0442132639792,300.50845253576074,41.65149544863459,157.53868194842406,157.53868194842406,0.6475899713467049,365.0,4.882151429700883,43.50071685647109,44.9739921976593,4.287203179367733,3.4709579540528823,0.19947208506919978,769,
kmeans,chicago,2,7.946368377644275e+17,142.72963671128107,41.89341110937163,-87.66284916179417,3.6164435946462716,14.35678776290631,418.2451242829828,32.20038240917782,93.42294455066921,32.20038240917782,11.032122370936902,154.42455242966753,154.42455242966753,0.21666828644501276,365.0,4.815828685874953,47.91357618162589,37.0585086042065,1.3212194024919726,0.9193435309114086,0.23534555342273877,2615,
kmeans,chicago,3,8.415259797823356e+17,126.62352520557741,41.87968999678344,-87.66161151961772,3.3575259206292456,19.897032534858777,527.7622452627816,24.53950661422953,310.713621737576,24.53950661422953,8.24705041115481,128.68285714285713,128.68285714285713,0.8550814285714285,365.0,4.658376983624546,47.012143183456196,32.38255273507329,0.08186144175375595,0.6872542009295673,0.0537953940410181,2797,
