feature,importance
accommodates,0.3187633120813614
availability_365,0.1534698955170467
amenities_count,0.1433413681813766
reviews_per_month,0.1155382457487857
room_Private room,0.10481437974004763
minimum_nights,0.06378580793562669
neigh_District 19,0.026351403581929948
neigh_OTHER,0.015337546682808258
neigh_District 17,0.012579031227326808
neigh_District 5,0.009607412835935863
neigh_District 21,0.008612709766069105
neigh_District 18,0.0066837659385089385
neigh_District 2,0.006113549129939975
neigh_District 6,0.0049378550801222505
neigh_District 20,0.00484876634644943
neigh_District 7,0.003142409724189766
room_Shared room,0.0016147586272135105
room_Hotel room,0.00045778185526138763
